TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,t_rxn,t_iso,t_100,t_pseudo,F_X,Ro,logRo,P,logP,H,logH,Acetyl,Yield
100,423.15,10,0,2,95,5,25,95,2,93,8,12.386,2817.787834,7.9437074,188.7847729,5.240607598,262.7975381,5.571383919,2.128411429,12.51412886
247,430.6045455,7.69,0,5,180,67,2.205882353,180,26.04606063,153.9539394,97.42545458,14.5,8850.066672,9.088180272,663.6140125,6.497700674,962.7933399,6.869838788,4.144342105,51.66266208
100.0904001,428.15,8,0,5,80.09040007,20,6.5,80.09040007,8.461538462,71.62886161,32.30769231,17.84090909,3334.138342,8.111969557,241.4793853,5.486784108,345.6622499,5.845462142,4.144342105,24.79040498
200.7142857,443.15,15,0,0.59,180,20.71428571,7,180,10,170,34.28571429,15,20717.20022,9.938719563,1791.541368,7.490831627,2777.862611,7.929437066,2.573478261,47.5
59.9200002,413.15,6,0,5,59.9200002,55,2.090909091,59.9200002,19.13043478,40.78956542,86.08695652,21.59090909,902.2347574,6.804874749,50.18288995,3.915674131,65.93180844,4.188621002,3.695454545,2.408473985
36.3359763,473.15,40,0,0.425,32.08191126,4.254065041,41.13712375,32.08191126,2.430894309,29.65101695,7.292682926,20.9,28224.71739,10.24795338,2772.479739,7.927497411,4967.909002,8.510754307,3.508,60.63265472
100,433.15,10,0,4,60,40,3.375,60,17.77777778,42.22222222,65.18518519,11.932,3505.684849,8.162141172,271.8486007,5.605245296,399.8865509,5.991180884,2.128411429,53.05062018
126.0281602,453.15,40,0,0.425,122.260274,3.767886179,41.13712375,122.260274,1.944715447,120.3155586,6.320325203,20.9,27719.21071,10.22988098,2581.865543,7.856267495,4210.00104,8.345218174,3.508,69.83862341
135,418.15,8,0,8,120,15,8,120,5.625,114.375,23.75,18.86363636,2535.989564,7.8383392,155.6103305,5.047355001,210.5161438,5.349562343,2.128411429,4.70746988
180,443.15,4,0,10.35,120,60,2.416666667,120,28.96551724,91.03448276,99.31034481,20.47,13811.46681,9.533254455,1194.360912,7.085366519,1851.908407,7.523971958,3.439166667,45.33463605
59.97583182,418.15,8,0,5,39.97583182,20,6,39.97583182,7.5,32.47583182,31.66666667,17.84090909,844.8191025,6.739122525,51.83877,3.948138325,70.12964965,4.250345667,4.144342105,1.956723444
89.9064033,443.15,6,0,5,89.9064033,55,2.636363636,89.9064033,26.55172414,63.35467916,91.03448277,21.59090909,10347.82755,9.244531878,894.8391151,6.796643942,1387.486868,7.235249381,3.695454545,22.03976118
67.40691057,493.15,40,0,0.425,62.66666667,4.740243902,41.13712375,62.66666667,2.91707317,59.7495935,8.26504065,20.9,213934.0127,12.27342289,19768.23147,9.891831457,38628.48653,10.56174528,3.508,0.994248435
60.11413236,433.15,6,0,5,60.11413236,55,2.454545455,60.11413236,24.44444444,35.66968792,89.62962961,21.59090909,3512.353384,8.164041572,272.3657127,5.607145695,400.6472175,5.993081283,3.695454545,29.6023305
59.90526442,438.15,8,0,5,39.90526442,20,7,39.90526442,9.285714286,30.61955013,32.85714286,17.84090909,3272.429376,8.093287917,269.181624,5.595386334,406.6518326,6.007957371,4.144342105,21.70385989
75,418.15,8,0,8,60,15,8,60,5.625,54.375,23.75,18.86363636,1267.994782,7.14519202,77.80516523,4.35420782,105.2580719,4.656415162,2.128411429,1.976289157
180,413.15,10,0,4,150,30,3.833333333,150,10.43478261,139.5652174,46.95652174,11.932,2258.59835,7.722499701,125.6247241,4.833299082,165.0495867,5.106245954,2.128411429,26.9024472
29.99563077,433.15,6,0,5,29.99563077,0,0,29.99563077,0,29.99563077,0,15.1,1752.587139,7.46884834,135.9045042,4.911952464,199.9141555,5.297888052,4.269325153,8.405292544
50,443.15,15,0,0.177,40,10,14.5,40,4.827586207,35.17241379,16.55172414,12.16,4603.822271,8.434642166,398.1203039,5.986754231,617.3028023,6.425359669,2.128411429,28.70065789
80,443.15,10,0,0.178,50,30,4.833333333,50,14.48275862,35.51724138,49.65517242,19.77272727,5754.777839,8.657785717,497.6503799,6.209897782,771.6285029,6.64850322,4.041182796,43.2
119.7226164,433.15,6,0,0.595,119.7226164,0,0,119.7226164,0,119.7226164,0,15.1,6995.162705,8.852974147,542.4404288,6.296078271,797.9244022,6.682013859,4.269325153,77.64705021
66.64793165,440.15,6,0,5,44.46043165,22.1875,6.4,44.46043165,10.46875,33.99168165,36.5625,15.02,4175.429468,8.336972499,350.7721662,5.860136914,535.495609,6.28319269,4.269325153,34.48489791
171.540018,440.15,6,0,5,149.352518,22.1875,6.4,149.352518,10.46875,138.883768,36.5625,15.02,14026.19996,9.548682286,1178.322034,7.0718467,1798.849327,7.494902477,4.269325153,51.27661434
79.94575903,418.15,8,0,5,59.94575903,20,6,59.94575903,7.5,52.44575903,31.66666667,16.70454545,1266.848494,7.144287595,77.73482811,4.353303395,105.1629169,4.655510737,4.144342105,5.426293883
360.3325607,433.15,6,0,0.595,360.3325607,0,0,360.3325607,0,360.3325607,0,15.1,21053.53998,9.954823995,1632.598373,7.397928119,2401.535748,7.783863707,4.269325153,54.06632401
232,430.6045455,7.69,0,5,165,67,2.205882353,165,26.04606063,138.9539394,97.42545458,14.5,8112.561116,9.001168895,608.3128448,6.410689297,882.5605615,6.782827411,4.144342105,41.80733497
70,453.15,15,0,0.177,60,10,15.5,60,5.161290323,54.83870968,16.77419355,12.16,13603.37735,9.518073376,1267.066787,7.144459892,2066.084544,7.63341057,2.128411429,61.34868421
180.2581937,428.15,8,0,5,160.2581937,20,6.5,160.2581937,8.461538462,151.7966552,32.30769231,17.84090909,6671.498553,8.805599784,483.1921187,6.180414336,691.6585225,6.539092369,4.144342105,21.89476877
